Trial Description - Step (%):,3,,,,,,,,,,,,Trial Description - Step (%):,4,,,,,,,,,,,,Trial Description - Step (%):,5,,,,,,,,,,,,Trial Description - Step (%):,7,,,,,,,,,,,,Trial Description - Step (%):,10,,,,,,,,,,,,Trial Description - Step (%):,20,,,,,,,,,,,,Trial Description - Step (%):,30,,,,,,,,,,,,Trial Description - Step (%):,40,,,,,,,,,,,,Trial Description - Step (%):,50,,,,,,,,,,,,Trial Description - Step (%):,60,,,,,,,,,,,,Trial Description - Step (%):,70,,,,,,,,,,,,Trial Description - Step (%):,80,,,,,,,,,,,,Trial Description - Step (%):,90,,,,,,,,,,,,Trial Description - Step (%):,100,,,,,,,,,,
time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM,,time,encoderCount,Velocity,rawCurrent,Current,rawVoltageA1,rawVoltageB1,VoltageA1,VoltageB1,MotorVoltage,MotorStatus,PWM
2404,0,0,512,0.01,0,0,0,0,0,0,0,,2404,0,0,510,0,0,0,0,0,0,0,0,,2404,0,0,510,0,0,0,0,0,0,0,0,,2404,0,0,512,0.01,0,0,0,0,0,0,0,,2404,0,0,509,0,0,0,0,0,0,0,0,,2404,0,0,512,0.01,0,0,0,0,0,0,0,,2404,0,0,511,0,0,0,0,0,0,0,0,,2404,0,0,511,-0.01,0,0,0,0,0,0,0,,2404,0,0,512,0.04,0,0,0,0,0,0,0,,2404,0,0,511,0.1,0,0,0,0,0,0,0,,2404,0,0,512,0.03,0,0,0,0,0,0,0,,2404,0,0,511,0.01,0,0,0,0,0,0,0,,2404,0,0,511,0.12,0,0,0,0,0,0,0,,2404,0,0,510,-0.01,0,0,0,0,0,0,0
11472,0,0,513,0.01,840,833,12,12,0,1,0,,11484,0,0,510,0,842,834,12.03,12.01,-0.01,1,0,,11484,0,0,511,0.01,841,834,12.01,12.01,0,1,0,,11472,0,0,510,-0.01,840,832,12,11.98,-0.01,1,0,,11484,0,0,510,-0.03,840,833,12,12,0,1,0,,11472,0,0,510,0,842,836,12.03,12.04,0.02,1,0,,11484,0,0,512,-0.02,842,835,12.03,12.03,0,1,0,,11476,0,0,511,-0.01,840,833,12,12,0,1,0,,11472,0,0,510,0.03,840,833,12,12,0,1,0,,11480,0,0,511,0.1,840,833,12,12,0,1,0,,11472,0,0,511,-0.02,842,834,12.03,12.01,-0.01,1,0,,11472,0,0,513,-0.01,840,832,12,11.98,-0.01,1,0,,11480,0,0,513,0.09,838,830,11.97,11.96,-0.01,1,0,,11476,0,0,512,-0.04,838,831,11.97,11.97,0,1,0
21500,0,0,510,0,841,833,12.01,12,-0.01,1,0,,21468,0,0,510,0.01,842,834,12.03,12.01,-0.01,1,0,,21480,0,0,511,0,843,835,12.04,12.03,-0.01,1,0,,21484,0,0,510,-0.02,841,832,12.01,11.98,-0.03,1,0,,21488,0,0,511,-0.01,841,834,12.01,12.01,0,1,0,,21476,0,0,511,0.01,841,834,12.01,12.01,0,1,0,,21492,0,0,511,0.01,842,834,12.03,12.01,-0.01,1,0,,21484,0,0,512,0.01,842,834,12.03,12.01,-0.01,1,0,,21468,0,0,512,0.01,840,832,12,11.98,-0.01,1,0,,21484,0,0,510,0.06,841,833,12.01,12,-0.01,1,0,,21476,0,0,511,0,841,833,12.01,12,-0.01,1,0,,21484,0,0,512,0.01,839,831,11.98,11.97,-0.01,1,0,,21492,0,0,511,0.1,839,831,11.98,11.97,-0.01,1,0,,21488,0,0,510,0.01,839,832,11.98,11.98,0,1,0
31480,0,0,510,0.01,842,835,12.03,12.03,0,1,0,,31480,0,0,511,0,843,836,12.04,12.04,0,1,0,,31496,0,0,511,0.01,841,833,12.01,12,-0.01,1,0,,31484,0,0,511,0.01,839,832,11.98,11.98,0,1,0,,31488,0,0,512,-0.01,840,833,12,12,0,1,0,,31496,0,0,512,0.01,843,836,12.04,12.04,0,1,0,,31488,0,0,510,-0.02,841,834,12.01,12.01,0,1,0,,31488,0,0,511,-0.01,841,834,12.01,12.01,0,1,0,,31480,0,0,511,0,841,833,12.01,12,-0.01,1,0,,31480,0,0,510,0.07,840,833,12,12,0,1,0,,31472,0,0,512,0.03,841,835,12.01,12.03,0.02,1,0,,31492,0,0,511,0.01,839,831,11.98,11.97,-0.01,1,0,,31476,0,0,511,0.06,839,831,11.98,11.97,-0.01,1,0,,31492,0,0,511,-0.02,840,833,12,12,0,1,0
41500,0,0,512,-0.04,842,835,12.03,12.03,0,1,0,,41480,0,0,511,0,843,835,12.04,12.03,-0.01,1,0,,41500,0,0,511,0,842,834,12.03,12.01,-0.01,1,0,,41488,0,0,511,-0.01,841,834,12.01,12.01,0,1,0,,41488,0,0,510,-0.01,842,835,12.03,12.03,0,1,0,,41492,0,0,511,0.03,842,834,12.03,12.01,-0.01,1,0,,41484,0,0,511,0.03,842,835,12.03,12.03,0,1,0,,41484,0,0,510,-0.01,841,834,12.01,12.01,0,1,0,,41488,0,0,511,-0.01,840,833,12,12,0,1,0,,41476,0,0,510,0.08,842,834,12.03,12.01,-0.01,1,0,,41496,0,0,510,0.02,841,833,12.01,12,-0.01,1,0,,41480,0,0,511,-0.04,839,831,11.98,11.97,-0.01,1,0,,41492,0,0,511,0.09,838,831,11.97,11.97,0,1,0,,41504,0,0,510,0.01,840,833,12,12,0,1,0
51504,0,0,511,-0.01,840,833,12,12,0,1,0,,51504,0,0,512,-0.01,843,836,12.04,12.04,0,1,0,,51492,0,0,511,0.01,842,835,12.03,12.03,0,1,0,,51484,0,0,513,0.01,840,832,12,11.98,-0.01,1,0,,51480,0,0,512,0,840,833,12,12,0,1,0,,51492,0,0,512,-0.04,842,833,12.03,12,-0.03,1,0,,51508,0,0,511,-0.01,841,833,12.01,12,-0.01,1,0,,51492,0,0,511,-0.01,840,832,12,11.98,-0.01,1,0,,51488,0,0,512,0.04,839,832,11.98,11.98,0,1,0,,51508,0,0,513,0.04,840,832,12,11.98,-0.01,1,0,,51492,0,0,511,0.03,841,834,12.01,12.01,0,1,0,,51496,0,0,511,0.01,839,831,11.98,11.97,-0.01,1,0,,51500,0,0,511,0.07,839,831,11.98,11.97,-0.01,1,0,,51500,0,0,511,-0.03,839,832,11.98,11.98,0,1,0
61512,0,0,511,0.01,841,834,12.01,12.01,0,1,0,,61504,0,0,511,0.01,842,835,12.03,12.03,0,1,0,,61492,0,0,511,-0.01,841,834,12.01,12.01,0,1,0,,61500,0,0,511,-0.01,840,832,12,11.98,-0.01,1,0,,61496,0,0,510,-0.01,842,834,12.03,12.01,-0.01,1,0,,61504,0,0,511,-0.01,843,836,12.04,12.04,0,1,0,,61496,0,0,511,0.01,843,835,12.04,12.03,-0.01,1,0,,61512,0,0,512,0.01,841,833,12.01,12,-0.01,1,0,,61496,0,0,511,0.01,841,833,12.01,12,-0.01,1,0,,61492,0,0,510,0.09,841,834,12.01,12.01,0,1,0,,61496,0,0,512,-0.04,841,833,12.01,12,-0.01,1,0,,61516,0,0,511,0.01,839,831,11.98,11.97,-0.01,1,0,,61492,0,0,510,0.08,838,831,11.97,11.97,0,1,0,,61484,0,0,512,0.02,838,831,11.97,11.97,0,1,0
71504,0,0,511,0.02,841,834,12.01,12.01,0,1,0,,71516,0,0,512,-0.01,843,836,12.04,12.04,0,1,0,,71516,0,0,510,-0.02,842,835,12.03,12.03,0,1,0,,71516,0,0,509,0.03,840,832,12,11.98,-0.01,1,0,,71500,0,0,511,0.02,841,834,12.01,12.01,0,1,0,,71488,0,0,511,-0.01,841,834,12.01,12.01,0,1,0,,71520,0,0,511,-0.01,840,833,12,12,0,1,0,,71492,0,0,511,0.03,841,833,12.01,12,-0.01,1,0,,71496,0,0,511,0.01,840,832,12,11.98,-0.01,1,0,,71512,0,0,511,0.07,840,834,12,12.01,0.02,1,0,,71488,0,0,510,0.01,841,833,12.01,12,-0.01,1,0,,71500,0,0,512,0.02,839,832,11.98,11.98,0,1,0,,71492,0,0,511,0.1,839,832,11.98,11.98,0,1,0,,71516,0,0,510,0.04,838,831,11.97,11.97,0,1,0
81504,0,0,511,-0.01,843,834,12.04,12.01,-0.03,1,0,,81492,0,0,511,-0.01,842,835,12.03,12.03,0,1,0,,81520,0,0,511,0.01,842,834,12.03,12.01,-0.01,1,0,,81508,0,0,511,-0.01,841,834,12.01,12.01,0,1,0,,81512,0,0,512,0.02,840,833,12,12,0,1,0,,81524,0,0,510,-0.01,842,835,12.03,12.03,0,1,0,,81496,0,0,511,0.01,842,835,12.03,12.03,0,1,0,,81508,0,0,511,-0.01,842,834,12.03,12.01,-0.01,1,0,,81516,0,0,512,-0.01,840,833,12,12,0,1,0,,81512,0,0,511,0.07,840,833,12,12,0,1,0,,81508,0,0,511,-0.02,841,834,12.01,12.01,0,1,0,,81520,0,0,511,-0.01,838,831,11.97,11.97,0,1,0,,81520,0,0,511,0.11,838,831,11.97,11.97,0,1,0,,81524,0,0,511,0,839,831,11.98,11.97,-0.01,1,0
91512,0,0,509,-0.02,840,833,12,12,0,1,0,,91520,0,0,510,-0.01,843,836,12.04,12.04,0,1,0,,91524,0,0,511,-0.01,841,833,12.01,12,-0.01,1,0,,91516,0,0,511,-0.02,840,832,12,11.98,-0.01,1,0,,91516,0,0,512,0.01,841,834,12.01,12.01,0,1,0,,91496,0,0,511,0.01,842,835,12.03,12.03,0,1,0,,91524,0,0,510,-0.01,840,833,12,12,0,1,0,,91520,0,0,509,0.01,840,833,12,12,0,1,0,,91528,0,0,512,0.01,840,833,12,12,0,1,0,,91516,0,0,511,0.05,839,833,11.98,12,0.02,1,0,,91516,0,0,510,-0.01,841,834,12.01,12.01,0,1,0,,91496,0,0,512,0,839,831,11.98,11.97,-0.01,1,0,,91500,0,0,511,0.09,838,831,11.97,11.97,0,1,0,,91520,0,0,512,0,838,831,11.97,11.97,0,1,0
